,supply fan flow [m^3/h]
2023-06-01 18:30:00.0000000,894.4203580128374
2023-06-01 18:40:00.0000000,894.4203580128374
2023-06-01 18:50:00.0000000,894.4203580128374
2023-06-01 19:00:00.0000000,894.4203580128374
2023-06-01 19:10:00.0000000,894.4203580128374
2023-06-01 19:20:00.0000000,894.4203580128374
2023-06-01 19:30:00.0000000,894.4203580128374
2023-06-01 19:40:00.0000000,894.4203580128374
2023-06-01 19:50:00.0000000,894.4203580128374
2023-06-01 20:00:00.0000000,894.4203580128374
2023-06-01 20:10:00.0000000,894.4203580128374
2023-06-01 20:20:00.0000000,894.4203580128374
2023-06-01 20:30:00.0000000,894.4203580128374
2023-06-01 20:40:00.0000000,894.4203580128374
2023-06-01 20:50:00.0000000,894.4203580128374
2023-06-01 21:00:00.0000000,894.4203580128374
2023-06-01 21:10:00.0000000,894.4203580128374
2023-06-01 21:20:00.0000000,894.4203580128374
2023-06-01 21:30:00.0000000,894.4203580128374
2023-06-01 21:40:00.0000000,894.4203580128374
2023-06-01 21:50:00.0000000,894.4203580128374
2023-06-01 22:00:00.0000000,894.4203580128374
2023-06-01 22:10:00.0000000,894.4203580128374
2023-06-01 22:20:00.0000000,894.4203580128374
2023-06-01 22:30:00.0000000,894.4203580128374
2023-06-01 22:40:00.0000000,894.4203580128374
2023-06-01 22:50:00.0000000,894.4203580128374
2023-06-01 23:00:00.0000000,894.4203580128374
2023-06-01 23:10:00.0000000,894.4203580128374
2023-06-01 23:20:00.0000000,894.4203580128374
2023-06-01 23:30:00.0000000,894.4203580128374
2023-06-01 23:40:00.0000000,894.4203580128374
2023-06-01 23:50:00.0000000,894.4203580128374
2023-06-02 00:00:00.0000000,894.4203580128374
2023-06-02 00:10:00.0000000,894.4203580128374
2023-06-02 00:20:00.0000000,894.4203580128374
2023-06-02 00:30:00.0000000,894.4203580128374
2023-06-02 00:40:00.0000000,894.4203580128374
2023-06-02 00:50:00.0000000,894.4203580128374
2023-06-02 01:00:00.0000000,894.4203580128374
2023-06-02 01:10:00.0000000,894.4203580128374
2023-06-02 01:20:00.0000000,894.4203580128374
2023-06-02 01:30:00.0000000,894.4203580128374
2023-06-02 01:40:00.0000000,894.4203580128374
2023-06-02 01:50:00.0000000,894.4203580128374
2023-06-02 02:00:00.0000000,894.4203580128374
2023-06-02 02:10:00.0000000,894.4203580128374
2023-06-02 02:20:00.0000000,894.4203580128374
2023-06-02 02:30:00.0000000,894.4203580128374
2023-06-02 02:40:00.0000000,894.4203580128374
2023-06-02 02:50:00.0000000,894.4203580128374
2023-06-02 03:00:00.0000000,894.4203580128374
2023-06-02 03:10:00.0000000,894.4203580128374
2023-06-02 03:20:00.0000000,894.4203580128374
2023-06-02 03:30:00.0000000,894.4203580128374
2023-06-02 03:40:00.0000000,894.4203580128374
2023-06-02 03:50:00.0000000,894.4203580128374
2023-06-02 04:00:00.0000000,894.4203580128374
2023-06-02 04:10:00.0000000,894.4203580128374
2023-06-02 04:20:00.0000000,894.4203580128374
2023-06-02 04:30:00.0000000,894.4203580128374
2023-06-02 04:40:00.0000000,894.4203580128374
2023-06-02 04:50:00.0000000,894.4203580128374
2023-06-02 05:00:00.0000000,894.4203580128374
2023-06-02 05:10:00.0000000,894.4203580128374
2023-06-02 05:20:00.0000000,894.4203580128374
2023-06-02 05:30:00.0000000,894.4203580128374
2023-06-02 05:40:00.0000000,894.4203580128374
2023-06-02 05:50:00.0000000,894.4203580128374
2023-06-02 06:00:00.0000000,894.4203580128374
2023-06-02 06:10:00.0000000,894.4203580128374
2023-06-02 06:20:00.0000000,894.4203580128374
2023-06-02 06:30:00.0000000,894.4203580128374
2023-06-02 06:40:00.0000000,894.4203580128374
